Skool,4152558800,,,+1-415-255-8800,"San Francisco, CA 94103 SoMa 1725 Alameda St ",https://www.yelp.com/biz/skool-san-francisco?adjust_creative=hDdWzPS6tV8OJsYyFXnXZg&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=hDdWzPS6tV8OJsYyFXnXZg,1278,,37.768509696704,-122.40213632584
"La Briciola",4155120300,labriciola-sf.com,Labriciola.sf@gmail.com,+1-415-512-0300,"San Francisco, CA 94107 SoMa 489 3rd St ",https://www.yelp.com/biz/la-briciola-san-francisco?adjust_creative=hDdWzPS6tV8OJsYyFXnXZg&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=hDdWzPS6tV8OJsYyFXnXZg,802,,37.781576557879,-122.39592234391
Rumors,4155536169,rumorssf.com,info@rumorssf.com,+1-415-553-6169,"San Francisco, CA 94103 SoMa 398 7th St ",https://www.yelp.com/biz/rumors-san-francisco-4?adjust_creative=hDdWzPS6tV8OJsYyFXnXZg&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=hDdWzPS6tV8OJsYyFXnXZg,208,,37.7754681,-122.4066365
"Tú Lan",4156260927,tulansf.blogspot.com,,+1-415-626-0927,"San Francisco, CA 94103 SoMa 8 6th St ",https://www.yelp.com/biz/t%C3%BA-lan-san-francisco-4?adjust_creative=hDdWzPS6tV8OJsYyFXnXZg&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=hDdWzPS6tV8OJsYyFXnXZg,418,,37.781881149849,-122.4101354465
"SOMA Eats",4155437662,somaeatssf.com,info@SOMAeatssf.com,+1-415-543-7662,"San Francisco, CA 94105 Financial District 186 2nd St ",https://www.yelp.com/biz/soma-eats-san-francisco?adjust_creative=hDdWzPS6tV8OJsYyFXnXZg&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=hDdWzPS6tV8OJsYyFXnXZg,271,,37.786866519454,-122.39859715104
"Anar Restaurant",4155432627,,,+1-415-543-2627,"San Francisco, CA 94107 SoMa 937 Harrison St ",https://www.yelp.com/biz/anar-restaurant-san-francisco?adjust_creative=hDdWzPS6tV8OJsYyFXnXZg&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=hDdWzPS6tV8OJsYyFXnXZg,253,,37.778167,-122.40244
"Thoughts Style Cuisine Showroom",4152527919,,,+1-415-252-7919,"San Francisco, CA 94103 SoMa 139 8th St ",https://www.yelp.com/biz/thoughts-style-cuisine-showroom-san-francisco?adjust_creative=hDdWzPS6tV8OJsYyFXnXZg&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=hDdWzPS6tV8OJsYyFXnXZg,177,,37.77722,-122.41251
"Trou Normand",4159750876,trounormandsf.com,info@trounormand.com,+1-415-975-0876,"San Francisco, CA 94105 Financial District 140 New Montgomery St ",https://www.yelp.com/biz/trou-normand-san-francisco?adjust_creative=hDdWzPS6tV8OJsYyFXnXZg&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=hDdWzPS6tV8OJsYyFXnXZg,438,,37.786675754108,-122.39969173495
"The Cavalier",4153216000,thecavaliersf.com,information@thecavaliersf.com,+1-415-321-6000,"San Francisco, CA 94103 Union Square 360 Jessie St ",https://www.yelp.com/biz/the-cavalier-san-francisco?adjust_creative=hDdWzPS6tV8OJsYyFXnXZg&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=hDdWzPS6tV8OJsYyFXnXZg,706,,37.7834206,-122.4068756
Woodbury,,woodburysf.com,info@woodburysf.com,,"San Francisco, CA 94107 SoMa 685 3rd St ",https://www.yelp.com/biz/woodbury-san-francisco?adjust_creative=hDdWzPS6tV8OJsYyFXnXZg&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=hDdWzPS6tV8OJsYyFXnXZg,151,,37.779094363599,-122.39290389242
"Pazzia Restaurant & Pizzeria",4155121693,,,+1-415-512-1693,"San Francisco, CA 94107 SoMa 337 3rd St ",https://www.yelp.com/biz/pazzia-restaurant-and-pizzeria-san-francisco?adjust_creative=hDdWzPS6tV8OJsYyFXnXZg&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=hDdWzPS6tV8OJsYyFXnXZg,822,,37.783415161554,-122.39801699878
